Product-Name,Price,Rating,purchased-users
Amazon Brand - Presto! Garbage Bags Medium 180 Count,299,4.4,50k+
Dettol Liquid Handwash Refill – Skincare Hand Wash- 1500ml ,171,4.5,30K+
Godrej aer Matic Kit (Machine + 1 Refill) - Automatic Room Fresheners with Flexi Control Spray ,400,4.0,20K+
Amazon Brand - Presto! Garbage Bags Large 90 Count,309,4.3,10K+
"Amazon Brand - Solimo 2 Ply Kitchen Tissue Paper Roll, soft and highly absorbent - 4 Rolls (60 Pulls Per Roll, 240 Sheets)  ",209,4.4,10K+
Amazon Brand - Presto! Garbage Bags Small 180 Count,265,4.3,10K+
Happilo 100% Natural Premium California Almonds 200 g Dried ,165,4.2,7K+
"Dettol Liquid Disinfectant for Floor Cleaner, Surface Disinfection , Personal Hygiene (Lime Fresh , 1L)  Liquid",327,4.4,9K+
Godrej aer Matic Refill - Automatic Room Fresheners ,229,4.2,8K+
Rey Naturals Cold Pressed Extra Virgin Castor Oil For Hair Growth ,144,4.2,7K+
"urban platter Exotic Fresh Brazil Nuts, 250 grams [Premium",660,4.3,6K+
Urban Yog Acne Pimple Patch for Face (72 dots) ,249,4.0,4K+
"Nutella Hazelnut Spread with Cocoa, 12.35 oz / 350g  Hazelnut",389,4.5,2K+
"Nutella Hazelnut Spread with Cocoa, 750g  Hazelnut",703,4.4,1K+
Tulsi California Walnut Kernels Premium 200g ,299,4.1,1K+
Dettol Skincare Moisturizing Beauty Bathing Soap Bar (625gm),305,4.3,400+
Dettol Original Germ Protection Bathing Soap Bar (625gm) ,265,4.5,50+
"Dettol Original Germ Protection Bathing Soap Bar (Buy 4 Get 1 Free - 75G Each), Combo Offer On Bath Soap  ",120,4.4,50+
"Davidoff Coffee, Rich Aroma, 100g Pack of 1  Ground",849,4.5,500+
ORION Rice Cracker ,660,4.4,200+
